,td,dataset,file,prop,subevent,role,causation,syntax,entities,relations,statements,density,3_statements,5_statements,in_degree_3,out_degree_3,in_degree_5,in_degree_simple_hr,out_degree_simple_hr
85,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,inference_graph.csv,1,1,0,1,simple_rdf_reification,6997,116,15371,4.232488189104152e-09,15371,0,2.8416167085670083,4.07826810990841,0,0,0
86,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,inference_valid.csv,1,1,0,1,simple_rdf_reification,1440,9,2141,2.1815575055286121e-07,2141,0,2.345016429353779,3.906934306569343,0,0,0
87,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_reification,inference_test.csv,1,1,0,1,simple_rdf_reification,556,10,648,2.381496723060509e-06,648,0,1.6787564766839378,3.502702702702703,0,0,0
88,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,train.csv,1,1,0,1,simple_rdf_sp,24318,398,70992,1.9841805003096212e-10,70992,0,2.703867779860283,6.75204765450484,0,0,0
89,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,inference_graph.csv,1,1,0,1,simple_rdf_sp,5118,257,9991,1.001802432919284e-08,9991,0,2.041196877710321,5.457391304347826,0,0,0
90,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,inference_valid.csv,1,1,0,1,simple_rdf_sp,583,53,456,4.809172052939366e-06,456,0,1.0363636363636364,2.350515463917526,0,0,0
91,simple-triple,kg_base_prop_1_subevent_1_role_0_causation_1_syntax_simple_rdf_sp,inference_test.csv,1,1,0,1,simple_rdf_sp,303,35,234,1.826283877565929e-05,234,0,1.0684931506849316,1.9338842975206612,0,0,0
92,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,train.csv,1,1,1,0,simple_rdf_prop,1135042,1187,2587812,1.4932569858860248e-13,2587812,0,3.407548067079252,2.2873370995044153,0,0,0
93,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,inference_graph.csv,1,1,1,0,simple_rdf_prop,158185,927,278580,1.2885466076147404e-11,278580,0,4.143446297292451,1.7785645564748893,0,0,0
94,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,inference_valid.csv,1,1,1,0,simple_rdf_prop,68647,648,56673,3.1134908555398966e-10,56673,0,1.6911760317507685,1.43894883839025,0,0,0
95,simple-triple,kg_base_prop_1_subevent_1_role_1_causation_0_syntax_simple_rdf_prop,inference_test.csv,1,1,1,0,simple_rdf_prop,23847,512,19607,2.601223700428574e-09,19607,0,1.6664116947135814,1.4451979066853393,0,0,0
96,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_sp,train.csv,1,0,1,0,simple_rdf_sp,409163,1027,922681,1.1746185219391909e-12,922681,0,3.370037428518116,2.2669318100713474,0,0,0
97,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_sp,inference_graph.csv,1,0,1,0,simple_rdf_sp,73823,801,128266,6.078226745637053e-11,128266,0,4.1091417910447765,1.7627537291807531,0,0,0
98,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_sp,inference_valid.csv,1,0,1,0,simple_rdf_sp,28008,539,23166,1.8633648378389234e-09,23166,0,1.6916897911494084,1.4468802698145025,0,0,0
99,simple-triple,kg_base_prop_1_subevent_0_role_1_causation_0_syntax_simple_rdf_sp,inference_test.csv,1,0,1,0,simple_rdf_sp,14918,440,12233,6.68242431324174e-09,12233,0,1.6661672568782349,1.4398540489642184,0,0,0
